SEGMENTID,STREET,DIRECTION,FROM_STREET,TO_STREET,LENGTH, STREET_HEADING, COMMENTS,START_LONGITUDE, START_LATITUDE,END_LONGITUDE, END_LATITUDE, CURRENT_SPEED, LAST_UPDATED
929,Milwaukee,NW,North Ave,Armitage,0.75,N,,-87.67731564,41.91047553,-87.6883646,41.91756851,24,40:24.0
873,LaSalle,NB,Chicago,Division,0.5,N,,-87.63253489,41.89661188,-87.63273234,41.9038818,25,40:24.0
445,79th,EB,Western,Damen,0.49,W,,-87.68275405,41.74991362,-87.67308525,41.75014314,27,40:07.0
1216,Halsted,NB,31st,Archer,0.63,S,,-87.646086,41.838046,-87.646297,41.847196,22,40:29.0
1011,Touhy,WB,Harlem,Oriole,0.5,W,,-87.80657598,42.01185385,-87.81632551,42.01159632,-1,40:21.0
308,Irving Park,WB,Kostner,Cicero,0.47,W,,-87.73806267,41.95366661,-87.74730362,41.95355558,27,40:13.0
24,Pulaski,NB,91st,87th,0.5,S,Outside City,-87.72153343,41.72792404,-87.72131078,41.73485665,34,40:04.0
674,Ramp To Cermak Rd,NB,31st,26th,0.5,S,,-87.63025164,41.83827212,-87.63092373,41.84555404,-1,40:16.0
1204,Halsted,NB,79th,76th,0.38,S,,-87.643853,41.750643,-87.643993,41.756089,14,40:21.0
1105,Cermak,WB,City Boundary,Cicero,0.246436742,W,Outside City Limits,-87.73949079,41.85151612,-87.74426639,41.85148034,29,40:26.0
579,Lake Shore Dr,NW,43rd,Oakwood,0.64,S,,-87.59468951,41.81693536,-87.60019246,41.82529719,55,40:10.0
447,79th,EB,Ashland,Racine,0.5,W,,-87.66347154,41.75029083,-87.6536959,41.75031475,22,40:07.0
496,Archer,EB,Laramie,Cicero,0.51,S,,-87.75265737,41.79708861,-87.74290345,41.79850045,29,40:26.0
1098,Cermak,EB,Harlem,Ridgeland,1.039419494,W,Outside City Limits,-87.80361332,41.85023809,-87.78348069,41.850728,-1,40:26.0
887,Lake Shore Dr,NW,55th,51st,0.53,S,,-87.57900828,41.79521804,-87.58139175,41.80273811,50,40:24.0
116,Ashland,NB,Roosevelt,Harrison,0.5,S,,-87.6662,41.86686042,-87.66641535,41.87419937,-1,40:06.0
114,Ashland,NB,Cermak,18th,0.4,S,,-87.66584071,41.85232999,-87.6659546,41.85779268,25,40:06.0
960,Ontario,WB,Fairbanks,Michigan,0.2,E,Oneway,-87.62028586,41.89342861,-87.62422064,41.893324,16,40:25.0
215,Roosevelt,EB,Laramie,Cicero,0.5,W,IDOT Signals Possible,-87.75456003,41.86557615,-87.74476391,41.86581344,11,40:11.0
1309,Harrison,WB,Canal,Halsted,0.4,W,,-87.639487,41.874538,-87.647125,41.874438,17,40:30.0
266,87th,WB,Central Park,Pulaski,0.49,W,IDOT Signals Possible,-87.71199269,41.73515865,-87.72145536,41.73499249,-1,40:14.0
339,Western,NB,63rd,59th,0.5,S,,-87.68345604,41.77921498,-87.68364728,41.78652769,29,40:08.0
97,Pulaski,SB,Peterson,Bryn Mawr,0.5,N,,-87.72889198,41.99013834,-87.72868425,41.98283444,-1,40:06.0
1281,Columbus,SB,Illinois,Randolph,0.45,N,,-87.620424,41.891002,-87.620742,41.884414,24,40:10.0
217,Roosevelt,EB,Kostner,Pulaski,0.5,W,,-87.73496602,41.86589569,-87.72517179,41.86603492,28,40:11.0
899,Michigan,NB,26th,Cermak,0.5,S,,-87.62343743,41.84564219,-87.62360876,41.85285485,23,40:20.0
56,Pulaski,NB,Foster,Bryn Mawr,0.5,N,,-87.72804952,41.97553104,-87.72831777,41.98283056,25,40:05.0
830,Harlem,NB,Peterson,Devon,0.54,N,,-87.80669607,41.98997826,-87.80661307,41.99777443,-1,40:23.0
297,Irving Park,EB,Sheridan,Clarendon,0.24,W,,-87.65454619,41.95435117,-87.6497013,41.95442403,19,40:13.0
